org8code_year,Yr,org4code,org8code,DistName,4 Year Cohort Total,4 Year Graduation Percent,5 Year Cohort Total,5 Year Graduation Percent,Mass Core Completion Count,Mass Core Completion Percent,Chronic Absence Count,Chronic Absence Percent,College Enrollment Count,College Persistence Count,College Enrollment Percent,College Persistence Percent,Out of School Suspension Count,Out of School Suspension Percent,Passed All 9th Grade Courses Count,Passed All 9th Grade Courses Percent,Enrolled in AP/IB Course Count,Enrolled in AP/IB Course Percent
00000000_2011,2011,0,0,State,74307,83.4,74307,86.3,Null,Null,Null,Null,64628,64628,67.43207279,58.57368323,Null,Null,Null,Null,Null,Null
00000000_2012,2012,0,0,State,73483,84.7,73483,87.5,44571,68.4,303285,19.4,64999,64999,67.74565763,59.6255327,Null,Null,73727,77,140759,28
00000000_2013,2013,0,0,State,74537,87.7,74537,87.7,46601,70.2,303412,18.6,66305,66305,69.28285951,60.8822864,290447,7.3,75123,78.1,140464,30
00000000_2014,2014,0,0,State,73168,88.5,73168,88.5,47481,72.4,303327,18,65264,65264,69.15144643,60.61994361,294878,6.7,74694,78.7,140913,32
00000000_2015,2015,0,0,State,72474,89.4,72474,89.4,47479,72.3,298874,18.4,65293,65293,69.39488153,60.76455363,296383,4.9,74986,78.6,142261,34
00000000_2016,2016,0,0,State,74045,87.5,74045,89.8,51885,77.4,300018,18,67462,67462,69.2315674,60.69787436,14061,4.7,59107,78.9,142883,36
00000000_2017,2017,0,0,State,73249,88.3,73249,90.1,54263,80.9,301281,19,66987,66987,70.04344126,60.95958917,12949,4.3,60521,80.6,143865,37
00000000_2018,2018,0,0,State,74641,87.9,Null,Null,55052,81.1,302085,18.8,67817,67817,69.54008582,0.308182314,14005,4.7,60891,80.6,145614,38
00010000_2011,2011,1,10000,Abington,143,88.1,143,88.8,Null,Null,Null,Null,127,127,76.37795276,70.07874016,Null,Null,Null,Null,Null,Null
00010000_2012,2012,1,10000,Abington,134,84.3,134,84.3,57,49.6,544,28.1,115,115,71.30434783,65.2173913,Null,Null,134,75.4,273,21
00010000_2013,2013,1,10000,Abington,144,89.6,144,89.6,68,53.1,584,27.7,128,128,78.125,72.65625,573,6.5,120,79.2,252,16
00010000_2014,2014,1,10000,Abington,114,85.1,114,85.1,36,36.7,495,25.1,98,98,65.30612245,54.08163265,482,7.3,99,74.7,249,19
00010000_2015,2015,1,10000,Abington,132,93.9,132,93.9,71,57.3,492,18.5,124,124,67.74193548,60.48387097,498,1.4,129,77.5,253,20
00010000_2016,2016,1,10000,Abington,118,92.4,118,92.4,62,55.4,459,13.3,111,111,82.88288288,75.67567568,9,2,91,81.3,210,25
00010000_2017,2017,1,10000,Abington,100,95,100,95,45,46.4,465,14.8,97,97,82.4742268,65.97938144,10,2.2,113,87.6,221,24
00010000_2018,2018,1,10000,Abington,134,91.8,Null,Null,72,58.5,547,12.4,123,123,68.29268293,0,23,4.3,133,86.4,242,26
00050000_2011,2011,5,50000,Agawam,333,89.5,333,89.8,Null,Null,Null,Null,302,302,73.50993377,61.9205298,Null,Null,Null,Null,Null,Null
00050000_2012,2012,5,50000,Agawam,334,90.1,334,91.6,129,42.9,1447,14.9,301,301,77.07641196,65.11627907,Null,Null,359,77.2,650,45
00050000_2013,2013,5,50000,Agawam,349,92.8,349,92.8,130,40.2,1400,12.5,323,323,78.32817337,70.89783282,1356,5.3,367,80.9,628,46
00050000_2014,2014,5,50000,Agawam,320,90.3,320,90.3,212,70.9,1379,10.9,299,299,78.59531773,67.55852843,1340,4.1,351,88.9,626,40
00050000_2015,2015,5,50000,Agawam,328,92.1,328,92.1,150,50.2,1300,10,298,298,77.51677852,66.10738255,1305,0,315,89.2,660,40
00050000_2016,2016,5,50000,Agawam,340,92.6,340,93.2,281,86.7,1275,11.1,321,321,72.2741433,63.23987539,32,2.5,275,89.3,657,39
00050000_2017,2017,5,50000,Agawam,334,90.7,334,91.9,239,78.1,1230,12.2,306,306,76.14379085,69.28104575,17,1.4,259,89.9,620,40
00050000_2018,2018,5,50000,Agawam,291,93.1,Null,Null,241,87.6,1207,11.4,274,274,74.08759124,0.364963504,31,2.6,274,87.8,586,42
00070000_2011,2011,7,70000,Amesbury,171,82.5,171,85.4,Null,Null,Null,Null,146,146,74.65753425,67.12328767,Null,Null,Null,Null,Null,Null
00070000_2012,2012,7,70000,Amesbury,155,83.9,155,85.8,135,100.0,644,14.3,135,135,68.14814815,61.48148148,Null,Null,141,81.6,311,32
00070000_2013,2013,7,70000,Amesbury,151,89.4,151,89.4,137,100.0,662,12.8,137,137,79.5620438,71.53284672,647,3.9,176,86.9,320,32
00070000_2014,2014,7,70000,Amesbury,161,90.1,161,90.1,148,100.0,677,12.9,148,148,76.35135135,67.56756757,660,1.7,171,81.9,299,29
00070000_2015,2015,7,70000,Amesbury,144,90.3,144,90.3,130,100.0,632,14.4,130,130,69.23076923,55.38461538,636,2.2,156,80.8,304,36
00070000_2016,2016,7,70000,Amesbury,175,90.9,175,93.7,161,100.0,657,17.7,161,161,73.91304348,65.2173913,18,2.7,120,85.1,343,39
00070000_2017,2017,7,70000,Amesbury,175,88,175,90.3,159,100.0,643,18.4,159,159,74.21383648,64.77987421,12,1.9,137,87.3,338,40
00070000_2018,2018,7,70000,Amesbury,160,83.1,Null,Null,137,100.0,656,18.1,137,137,75.91240876,0,18,2.8,140,88.1,318,35
00090000_2011,2011,9,90000,Andover,455,95.4,455,96.5,Null,Null,Null,Null,441,441,79.8185941,74.6031746,Null,Null,Null,Null,Null,Null
00090000_2012,2012,9,90000,Andover,441,95.5,441,96.8,430,100.0,1860,10.1,430,430,83.02325581,79.76744186,Null,Null,441,95.2,901,46
00090000_2013,2013,9,90000,Andover,480,96,480,96,465,100.0,1876,10.2,465,465,81.93548387,74.83870968,1832,4.3,453,95.6,901,50
00090000_2014,2014,9,90000,Andover,450,95.6,450,95.6,433,100.0,1867,9.3,432,432,81.94444444,78.00925926,1831,1.9,477,96.6,875,55
00090000_2015,2015,9,90000,Andover,438,97,438,97,422,100.0,1773,10.1,421,421,83.37292162,79.57244656,1799,2.4,421,95.2,867,52
00090000_2016,2016,9,90000,Andover,454,94.3,454,96.3,435,100.0,1801,10.4,435,435,81.37931034,77.93103448,23,1.3,447,96.3,916,51
00090000_2017,2017,9,90000,Andover,477,95.8,477,96.9,467,100.0,1810,9.6,467,467,86.50963597,82.65524625,49,2.7,421,95.9,907,54
00090000_2018,2018,9,90000,Andover,431,94.4,Null,Null,414,100.0,1831,13.3,414,414,86.23188406,0.241545894,51,2.8,451,97.2,877,55
00100000_2011,2011,10,100000,Arlington,319,92.2,319,94.4,Null,Null,Null,Null,298,298,75.5033557,67.44966443,Null,Null,Null,Null,Null,Null
00100000_2012,2012,10,100000,Arlington,305,88.5,305,90.2,278,100.0,1279,16.5,277,277,77.25631769,71.11913357,Null,Null,293,88.1,623,53
00100000_2013,2013,10,100000,Arlington,346,92.5,346,92.5,322,99.7,1313,18.1,322,322,73.60248447,68.63354037,1273,2.7,Null,Null,635,13
00100000_2014,2014,10,100000,Arlington,307,94.1,307,94.1,291,100.0,1276,17.5,290,290,73.79310345,69.65517241,1221,2.6,278,93.2,615,57
